employee_ID_number,First_Name,Surname,Date_of_Joining,Contact_Number,Department
EMP1060,Judy,Lewis,03-20-2021,2584503710,Marketing
EMP100,John,Doe,01-16-2020,971-623-5207,HR
EMP101,Bob,Brown,2022/12/12,863-139-7893,Marketing
EMP107,Eve,White,01-31-2024,4473533954,Sales
EMP101,Ian,Clark,30/11/2021,380-156-2039,HR
EMP110,,,11-10-2023,971-143-1040,Marketing
EMP104,Bob,Brown,03-29-2023,7644783941,Marketing
EMP104,Charlie,Davis,UNKNOWN,859-149-1859,HR
EMP105,Charlie,Davis,19/10/2020,183-187-2037,IT
EMP108,Alice,Johnson,"January 04, 2020",60664992354,
EMP105,Eve,White,10/08/2022,423-558-1475,
EMP110,Grace,Hall,12-18-2020,881-611-4401,HR
EMP107,Judy,Lewis,"August 05, 20023",,
EMP102,Charlie,Davis,15/07/2020,110-982-6988,HR
EMP102,Judy,Lewis,2021/05/14,683-740-2476,IT
EMP101,Bob,Brown,2022/120/12,863-139-7893,Marketing
